code_DEP,Departement,code_REG,Region,nb_habitants,pop_dens_km,pop_tx_var_10ans,tx_contri_sold_migratoire,pvt_tx,log_nb,log_tx_log_soci,coordonnees,solinum,emp_tx_prof_intellec_sup,emp_tx_prof_interm,tx_employés,emp_tx_prof_autres,emp_tx_chom,log_energivore,ste_ensemble_medecin,ste_medec_100000habitant,ste_gener_100000habitant,ste_special_100000habitant,ste_chirur_dent_100000habitant,ste_pharmacie_100000habitant,total,FEMME,45-54,35-44,55-64,Augmentation_forte_nombre_personnes_aidées_alim_pourcent,Personnes_âgées,Handicapées,Accueil,Social
28,EURE-ET-LOIR,24,CENTRE-VAL DE LOIRE,429083.0,73.0,-0.31,-2.66,11.8,217440.0,18.0,"48.388123476079826, 1.3700954428023382",0,12.5,25.7,28.2,1.2,6.7,23.0,834,194,86,108,41,103,342456,176936,57891,53575,55953,0.17,38524.0,64263.0,64263.0,64263.0
29,FINISTÈRE,53,BRETAGNE,919983.0,136.0,2.24,4.14,11.0,549039.0,11.0,"48.2618259457523, -4.059875185401833",0,13.5,25.9,28.5,0.9,6.2,9.0,3387,367,182,184,64,98,753260,391905,119762,108537,127014,0.17,112242.0,155678.0,155678.0,155678.0
30,GARD,76,OCCITANIE,751840.0,128.0,4.66,3.76,19.4,431684.0,12.0,"43.993711551717084, 4.179939655086049",0,11.9,25.0,30.4,1.7,9.9,3.0,2345,310,138,172,70,111,611264,320913,98284,88884,102315,0.2,95828.0,80376.0,80376.0,80376.0
31,HAUTE-GARONNE,76,OCCITANIE,1434439.0,223.0,13.82,7.96,13.3,740546.0,14.0,"43.35877912439024, 1.1747830086462059",1,25.2,27.4,24.9,1.4,7.4,6.0,5996,413,166,247,93,110,1139531,590243,184324,189356,156598,0.2,144826.0,215256.0,215256.0,215256.0
32,GERS,76,OCCITANIE,191910.0,31.0,1.6,6.61,15.0,111536.0,7.0,"43.692734765949986, 0.4527602817696125",0,11.7,23.7,27.4,0.7,5.7,7.0,434,225,139,87,60,99,160246,83050,25586,21554,28785,0.2,40023.0,32798.0,32798.0,32798.0
33,GIRONDE,75,NOUVELLE-AQUITAINE,1661929.0,153.0,13.55,10.59,12.4,886986.0,14.0,"44.83892811308482, -0.5825308059448392",1,18.3,26.5,27.5,1.1,6.5,3.0,7312,437,180,257,81,119,1328501,700926,217714,211087,194244,0.19,178525.0,267079.0,267079.0,267079.0
34,HÉRAULT,76,OCCITANIE,1203899.0,194.0,13.36,10.98,18.7,739737.0,12.0,"43.579581366631686, 3.36861681567954",1,16.8,26.3,29.0,1.9,10.1,5.0,5356,440,176,263,87,131,966129,511692,148921,144197,142813,0.2,180729.0,165166.0,165166.0,165166.0
35,ILLE-ET-VILAINE,53,BRETAGNE,1098420.0,160.0,10.23,6.02,10.7,561343.0,15.0,"48.1548775811255, -1.6382039915945992",0,18.0,26.4,26.1,0.9,5.4,9.0,4046,365,160,205,67,102,863820,447439,142362,138325,123243,0.17,125139.0,152682.0,152682.0,152682.0
36,INDRE,24,CENTRE-VAL DE LOIRE,216392.0,32.0,-5.99,-0.35,14.6,138826.0,17.0,"46.77821240537032, 1.5760178006102292",1,8.6,21.7,30.8,1.2,7.1,26.0,425,197,111,85,35,96,183995,96052,28479,24440,32240,0.17,32212.0,30687.0,30687.0,30687.0
37,INDRE-ET-LOIRE,24,CENTRE-VAL DE LOIRE,612237.0,99.0,3.13,1.69,12.4,328095.0,18.0,"47.25832097443905, 0.691235175212491",0,15.1,27.0,28.5,1.3,6.5,13.0,2406,391,161,230,50,127,498515,262356,78448,73892,77844,0.17,71860.0,82653.0,82653.0,82653.0
